,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Anhui Polytechnic University,1935,,,,,,
0,Dongguan University of Technology,1990,,,,,,
0,Xi'an Shiyou University,1951,,,,,,
0,Nanjing Institute of Technology,1915,,,,,,
0,Shenyang Jianzhu University,1948,,,,,,
0,GanNan Normal University,1958,,,,,,
0,Xi'an Technological University,1955,,,,,,
0,Zhengzhou University of Light Industry,1977,,,,,,
0,Shanxi Normal University,1958,,,,,,
0,Beijing Institute of Graphic Communication,1958,,,,,,
0,Inner Mongolia Normal University,1952,,,,,,
0,Qinghai Normal University,1956,,,,,,
0,Shenyang Normal University,1951,,,,,,
0,Shenyang University of Chemical Technology,1952,14407,203,12980,180,1427,23
0,Dalian University,1949,15842,52,14678,52,1164,0.0%
0,NingboTech University,2001,10283,0.0%,10283,0.0%,,0.0%
0,Shanghai Institute of Technology,1956,,,,,,
0,Hefei University,1980,,,,,,
0,Xiamen University of Technology,1981,19320,149,18733,129,587,20
0,Liaoning shihua University,1950,17950,830,16461,724,1489,106
0,Guilin University of Technology,1956,,,,,,
0,Hunan University of Technology,1958,,,,,,
0,Northeast Electric Power University,1949,,,,,,
0,Guizhou Normal University,1941,,,,,,
0,Liaoning University of Technology,1951,13474,606,12801,526,673,80
0,Civil Aviation University of China,1951,,,,,,
0,Xinyang Normal University,1975,,,,,,
0,Jilin Normal University,1958,,,,,,
0,Jianghan University,2001,,,,,,
0,Zhongyuan University of Technology,1955,,,,,,
0,Linyi University,1941,,,,,,
0,Shaoxing University,1996,,,,,,
0,Yan'an University,1941,,,,,,
0,Beijing Union University,1978,,,,,,
0,Yancheng Institute of Technology,1958,,,,,,
0,Beijing Institute of Petrochemical Technology,1978,,,,,,
0,Liaoning Technical University,1949,,,,,,
0,Zhejiang University City College,1999,,,,,,
0,North China University of Science and Technology,1895,,,,,,
0,Xi'an Polytechnic University,1912,,,,,,
0,Changchun University of Technology,1952,,,,,,
0,Jinggangshan University,1958,,,,,,
0,Xihua University,1960,,,,,,
0,Shanghai Customs College,1953,,,,,,
0,Hebei University of Engineering,1952,,,,,,
0,Heilongjiang Bayi Agricultural University,1958,,,,,,
0,Bohai University,1950,,,,,,
0,Dalian Jiaotong University,1956,,,,,,
0,Anqing Normal University,1897,,,,,,
0,Jingdezhen Ceramic Institute,1910,,,,,,
0,Huaiyin Institute of Technology,1958,,,,,,
0,Jishou University,1958,,,,,,
0,Hunan Institute of Science and Technology,1907,,,,,,
0,Zhejiang University of Science and Technology,1980,,,,,,
0,Taiyuan University of Science and Technology,1952,,,,,,
0,Chongqing University of Science and Technology,1951,,,,,,
0,Shenyang Ligong University,1948,,,,,,
0,Guangxi Teachers Education University,1953,,,,,,
0,Huaibei Normal University,1974,,,,,,
0,Minnan Normal University,1958,,,,,,
0,Ningbo University of Technology,1983,13897,93,13897,93,,0.0%
0,Inner Mongolia University of Technology,1951,,,,,,
0,Xinjiang Normal University,1978,,,,,,
0,Xinjiang Agricultural University,1952,23762,7,20277,5,3485,2
0,Jinling Institute of Technology,1958,,,,,,
0,Nanchang Institute of Technology,1958,,,,,,
0,Changshu Institute of Technology,1958,,,,,,
0,Huaiyin Normal University,1997,,,,,,
0,Yangtze Normal University,1931,21999,189,21999,189,,0.0%
0,Beihua University,1906,,,,,,
0,Guangdong Ocean University,1935,,,,,,
0,Guangdong Polytechnic Normal University,1957,,,,,,
0,Jiangxi Science and Technology Normal University,1952,,,,,,
0,Taizhou University,1941,,,,,,
0,Dalian Ocean University,1952,,,,,,
0,University of Science and Technology Liaoning,1948,,,,,,
0,Luoyang Normal University,1916,,,,,,
0,Hubei Normal University,1973,,,,,,
0,Shanghai Dianji University,1953,,,,,,
0,Changzhou Institute of Technology,1978,,,,,,
0,Yancheng Teachers University,1958,,,,,,
0,Hubei University of Education,1931,,,,,,
0,Changchun Normal University,1958,,,,,,
0,Huaihai Institute of Technology,1985,,,,,,
0,Yunnan Agricultural University,1938,,,,,,
0,Changsha University,1970,,,,,,
0,Dali University,1978,,,,,,
0,Sichuan University of Science and Engineering,1965,,,,,,
0,Minjiang University,2002,,,,,,
0,Jiangsu University of Technology,1984,,,,,,
0,Jilin Jianzhu University,1956,,,,,,
0,Fujian University of Technology,1896,,,,,,
0,Inner Mongolia University of Science & Technology,1956,,,,,,
0,Guizhou Normal College,1978,,,,,,
0,Tarim University,1958,,,,,,
0,Huanggang Normal University,1905,,,,,,
0,Chongqing University of Arts and Science,1976,,,,,,
0,Shenyang University,1905,,,,,,
0,Tongren University,2006,,,,,,
0,Henan Institute of Science and Technology,1939,,,,,,
0,Wuyi University,1958,,,,,,
0,Hunan First Normal University,1903,,,,,,
0,Mianyang Teachers' College,1940,,,,,,
0,Shanghai Second Polytechnic University,1960,,,,,,
0,Binzhou University,1958,,,,,,
0,Hubei University of Arts and Science,1905,,,,,,
0,Anhui Science and Technology University,1950,,,,,,
0,Zhejiang Wanli University,1950,,,,,,
0,Southwest Forestry University,1939,,,,,,
0,Tianjin Agricultural University,1976,,,,,,
0,Quzhou University,1985,,,,,,
0,Tianjin Chengjian University,1978,,,,,,
0,Changchun University,1938,,,,,,
0,Hefei Normal University,1955,,,,,,
0,Quanzhou Normal University,1958,,,,,,
0,Shandong Jiaotong University,1956,,,,,,
0,"Nanjing University of Information Science and Technology, Binjiang College",2002,,,,,,
